Strain ID,Soil sample name,Country of origin,Color of colony,Colony morphology,WT halo against AB?,WT halo against E. coli?,Frozen on:,Sent through co-ALE?,Sequenced?,Antibiotic susceptibility info?,Bioactive cmpd identified?,Comments,Strain,Description of soil sample,Location,GPS coordinates,Date of collection,Collected by:,Media for Isolation,Soil meta Comments
NBC 01187,Anholt2,Denmark,"light brown, perhaps a little bluish too",large folds / digs into agar,No,unsure,8/3/2020,Yes,Yes,,,,NBC 01187,2. anthill,"Nordbjerg, Anholt",56.712037   11.540075,2020-06-24,Tue Jørgensen, ISP4 & MS,
NBC 01188,Anholt2,Denmark,tan / white,bumpy,No,reduced ZOI,7/31/2020,,,,,,NBC 01188,2. anthill,"Nordbjerg, Anholt",56.712037   11.540075,2020-06-24,Tue Jørgensen, ISP4 & MS,
NBC 01189,Vrads,Denmark,orange / white / gray,wrinkly,No,No,8/5/2020,,Yes,,,Looks like a slow-growing version of Mr. Everywhere,NBC 01189,Field of grass / brush,Vrads,"56° 3' 36"" N   9° 27' 52"" E",2020-06-29,Charlotte Beck, ISP4 & MS,
NBC 01190,Anholt9,Denmark,Did not grow,Did not grow,,,8/5/2020,,Yes,,,,NBC 01190,9. soil under Rosa rugosa,"Havnestranden dunes, Anholt",56.714175   11.515055,2020-06-24,Tue Jørgensen, ISP4 & MS,
NBC 01191,CWH 09,Denmark,yellow / white / gray,bumpy,reduced ZOI,3 mm,8/7/2020,Yes,Yes,,,,NBC 01191,9) wet forest soil near alpaca farm,Tranekær,"55°01'27.8""N 10°50'36.1""E",2020-07-01,Christopher Whitford, ISP4 & MS,Chris' road trip around Denmark
NBC 01192,CWH 09,Denmark,tan / white / pink,flat / fuzzy,No,No,8/10/2020,,,,,,NBC 01192,9) wet forest soil near alpaca farm,Tranekær,"55°01'27.8""N 10°50'36.1""E",2020-07-01,Christopher Whitford, ISP4 & MS,Chris' road trip around Denmark
NBC 01193,CWH 35,Denmark,yellow / white,flat /  wrinkly,No,reduced ZOI,8/7/2020,Yes,,,,,NBC 01193,35. riverbed,Knudsø,"56°05'46.9""N 9°46'29.8""E",2020-07-01,Christopher Whitford, ISP4 & MS,Chris' road trip around Denmark
NBC 01194,CWH 35,Denmark,light brown / white / gray,bumpy / fuzzy,2 mm,2 mm,8/7/2020,Yes,Yes,,,,NBC 01194,35. riverbed,Knudsø,"56°05'46.9""N 9°46'29.8""E",2020-07-01,Christopher Whitford, ISP4 & MS,Chris' road trip around Denmark
NBC 01195,Apple Island,Denmark,reddish orange / white / gray,fluffy with water droplets,reduced ZOI,No,8/7/2020,Yes,Yes,,,,NBC 01195,"All 6 samples from CWH 45 to CWH 50 came from the sample place (Æbelø / Apple Island), but we did not distinguish the different locations when isolating strains",Æbelø,"55°38'04.3""N 10°10'48.5""E",2020-07-01,Christopher Whitford, ISP4,Chris' road trip around Denmark
NBC 01196,CWH 09,Denmark,brown / gray,fuzzy,reduced ZOI,1 mm,8/10/2020,Yes,Yes,,,,NBC 01196,9) wet forest soil near alpaca farm,Tranekær,"55°01'27.8""N 10°50'36.1""E",2020-07-01,Christopher Whitford, ISP4 & MS,Chris' road trip around Denmark
