Strain ID,Soil sample name,Country of origin,Color of colony,Colony morphology,WT halo against AB?,WT halo against E. coli?,Frozen on:,Sent through co-ALE?,Sequenced?,Antibiotic susceptibility info?,Bioactive cmpd identified?,Comments,Strain,Description of soil sample,Location,GPS coordinates,Date of collection,Collected by:,Media for Isolation,Soil meta Comments
NBC 00445,Pollenca,Spain,yellow,wrinkly,unsure,unsure,1/13/2017,,,,,"NBC 00444 and NBC 00445 are possible duplicates, but NBC 00444 seems to develop faster",NBC 00445,,Pollença,"39° 52' 17"" N   3° 5' 10"" E","Week 41, 2016",Helene Robertsen,,from Mallorca
NBC 00446,OG2,Denmark,,,,,1/13/2017,,,,,,NBC 00446,Olivier's garden; where his cat goes to the toilet,Hillerød,,"Week 42 or 43, 2016",Olivier Bitterlin,,
NBC 00447,Dyre1,Denmark,tan / white,flat,No,No,1/13/2017,,,,,,NBC 00447,"Grassy field just inside entrance, on the left",Dyrehaven,"55° 47' 53"" N   12° 32' 30"" E","Week 43, 2016",Pep Charusanti,,
NBC 00448,Dyre1,Denmark,gray,wrinkly,No,No,1/13/2017,,Yes,,,,NBC 00448,"Grassy field just inside entrance, on the left",Dyrehaven,"55° 47' 53"" N   12° 32' 30"" E","Week 43, 2016",Pep Charusanti,,
NBC 00449,Pollenca,Spain,"white outer, green inner, dark green base","outer radial lines, bumpy interior",reduced ZOI,No,1/13/2017,,,,,,NBC 00449,,Pollença,"39° 52' 17"" N   3° 5' 10"" E","Week 41, 2016",Helene Robertsen,,from Mallorca
NBC 00450,Pollenca,Spain,light red / pink,bumpy,reduced ZOI,unsure,1/13/2017,,Yes,,,,NBC 00450,,Pollença,"39° 52' 17"" N   3° 5' 10"" E","Week 41, 2016",Helene Robertsen,,from Mallorca
NBC 00451,OG1,Denmark,yellow / brown / white,flat / wrinkly,No,No,1/19/2017,,,Yes,,Consider for platform host,NBC 00451,Olivier's garden; pile of trees and branches,Hillerød,,"Week 42 or 43, 2016",Olivier Bitterlin,,
NBC 00452,OG2,Denmark,tan,bumpy,No,unsure,1/19/2017,,,,,,NBC 00452,Olivier's garden; where his cat goes to the toilet,Hillerød,,"Week 42 or 43, 2016",Olivier Bitterlin,,
NBC 00453,OG2,Denmark,tan / white,small bumps,No,reduced ZOI,1/19/2017,,Yes,,,,NBC 00453,Olivier's garden; where his cat goes to the toilet,Hillerød,,"Week 42 or 43, 2016",Olivier Bitterlin,,
NBC 00454,OG2,Denmark,tan / red / white,flat / wrinkly; like venezuelae,No,unsure,1/19/2017,,,Yes,,Consider for platform host,NBC 00454,Olivier's garden; where his cat goes to the toilet,Hillerød,,"Week 42 or 43, 2016",Olivier Bitterlin,,
NBC 00455,Dyre1,Denmark,tan,flat,No,reduced ZOI,1/16/2017,Tried; could not separate after round 1,Yes,,,,NBC 00455,"Grassy field just inside entrance, on the left",Dyrehaven,"55° 47' 53"" N   12° 32' 30"" E","Week 43, 2016",Pep Charusanti,,
NBC 00456,Pollenca,Spain,dark red / gray,small bumps,reduced ZOI,No,1/16/2017,,,,,,NBC 00456,,Pollença,"39° 52' 17"" N   3° 5' 10"" E","Week 41, 2016",Helene Robertsen,,from Mallorca
NBC 00457,Pollenca,Spain,yellow,wrinkly,reduced ZOI,No,1/16/2017,,,,,,NBC 00457,,Pollença,"39° 52' 17"" N   3° 5' 10"" E","Week 41, 2016",Helene Robertsen,,from Mallorca
NBC 00458,TW1,Germany,gray / black,flat,reduced ZOI,No,1/16/2017,,Yes,,,Might be a duplicate.  I've seen this phenotype before.,NBC 00458,grassy slope,Baiersbronn / Baden-Württem,,2016-09-23,Tilmann Weber,,
NBC 00459,OG3,Denmark,tan,wrinkly,No,No,1/16/2017,,,,,,NBC 00459,Olivier's garden; a pot where he grew pot several years ago,Hillerød,,"Week 42 or 43, 2016",Olivier Bitterlin,,
NBC 00460,OG1,Denmark,tan,peeling off,20mm,20mm,1/16/2017,,,,,,NBC 00460,Olivier's garden; pile of trees and branches,Hillerød,,"Week 42 or 43, 2016",Olivier Bitterlin,,
NBC 00461,OG2,Denmark,tan,wrinkly,No,unsure,1/16/2017,,,,,,NBC 00461,Olivier's garden; where his cat goes to the toilet,Hillerød,,"Week 42 or 43, 2016",Olivier Bitterlin,,
NBC 00462,OG2,Denmark,tan w/ red spots,wrinkly,No,unsure,1/16/2017,,,,,,NBC 00462,Olivier's garden; where his cat goes to the toilet,Hillerød,,"Week 42 or 43, 2016",Olivier Bitterlin,,
NBC 00463,OG2,Denmark,tan,wrinkly,No,No,1/16/2017,,,,,,NBC 00463,Olivier's garden; where his cat goes to the toilet,Hillerød,,"Week 42 or 43, 2016",Olivier Bitterlin,,
NBC 00464,OG3,Denmark,white,flat w/ some wrinkles,No,No,1/16/2017,,,,,Consider for platform host,NBC 00464,Olivier's garden; a pot where he grew pot several years ago,Hillerød,,"Week 42 or 43, 2016",Olivier Bitterlin,,
NBC 00465,OG4,Denmark,white / gray,"outer radial lines, bumpy interior",No,No,1/16/2017,,,,,,NBC 00465,Olivier's garden; where birds go poop,Hillerød,,"Week 42 or 43, 2016",Olivier Bitterlin,,
NBC 00466,Dyre1,Denmark,yellow,couldn't tell; colony too small,unsure,unsure,1/16/2017,,Yes,,,,NBC 00466,"Grassy field just inside entrance, on the left",Dyrehaven,"55° 47' 53"" N   12° 32' 30"" E","Week 43, 2016",Pep Charusanti,,
NBC 00467,Pollenca,Spain,tan / white,bumpy,reduced ZOI,No,1/16/2017,,,,,,NBC 00467,,Pollença,"39° 52' 17"" N   3° 5' 10"" E","Week 41, 2016",Helene Robertsen,,from Mallorca
NBC 00468,Buhl compost,Germany,black,"small bumps, as if colony remained separate and didn't join into a biofilm",No,No,1/16/2017,,,,,,NBC 00468,Compost heap,Bühl,,"Week 45, 2016",Kai Blin,,
NBC 00469,Buhl compost,Germany,orange,wrinkly,No,No,1/16/2017,,,,,I've definitely seen this phenotype before,NBC 00469,Compost heap,Bühl,,"Week 45, 2016",Kai Blin,,
NBC 00470,Buhl compost,Germany,black / gray,wrinkly,No,No,1/16/2017,,,,,,NBC 00470,Compost heap,Bühl,,"Week 45, 2016",Kai Blin,,
NBC 00471,OG1,Denmark,white,peeling off,reduced ZOI,No,1/16/2017,Yes,Yes,,,,NBC 00471,Olivier's garden; pile of trees and branches,Hillerød,,"Week 42 or 43, 2016",Olivier Bitterlin,,
NBC 00472,OG1,Denmark,white,fluffy interior,reduced ZOI,No,1/16/2017,Yes,Yes,,,,NBC 00472,Olivier's garden; pile of trees and branches,Hillerød,,"Week 42 or 43, 2016",Olivier Bitterlin,,
NBC 00473,OG2,Denmark,tan,bumpy,unsure,unsure,1/16/2017,,,,,,NBC 00473,Olivier's garden; where his cat goes to the toilet,Hillerød,,"Week 42 or 43, 2016",Olivier Bitterlin,,
NBC 00474,OG2,Denmark,tan,small bumps,No,No,1/16/2017,,,,,,NBC 00474,Olivier's garden; where his cat goes to the toilet,Hillerød,,"Week 42 or 43, 2016",Olivier Bitterlin,,
NBC 00475,OG2,Denmark,white outer / gray inner,flat,No,4 mm,1/16/2017,,Yes,,,,NBC 00475,Olivier's garden; where his cat goes to the toilet,Hillerød,,"Week 42 or 43, 2016",Olivier Bitterlin,,
NBC 00476,OG2,Denmark,tan,wrinkly,No,No,1/16/2017,,,,,,NBC 00476,Olivier's garden; where his cat goes to the toilet,Hillerød,,"Week 42 or 43, 2016",Olivier Bitterlin,,
NBC 00477,OG2,Denmark,tan,bumpy,No,No,1/16/2017,,,,,,NBC 00477,Olivier's garden; where his cat goes to the toilet,Hillerød,,"Week 42 or 43, 2016",Olivier Bitterlin,,
NBC 00478,OG3,Denmark,"orange base w/ white, gray, and pink on top","very unique phenotype.  Typical orange base, but with a star shape on top in one of 3 colors: white, gray, or pink",No,unsure,1/16/2017,Yes,,,,very pretty,NBC 00478,Olivier's garden; a pot where he grew pot several years ago,Hillerød,,"Week 42 or 43, 2016",Olivier Bitterlin,,
NBC 00479,Buhl compost,Germany,tan outer / yellow interior,flat w/ large radial lines,No,No,1/19/2017,,,,,,NBC 00479,Compost heap,Bühl,,"Week 45, 2016",Kai Blin,,
NBC 00480,Buhl compost,Germany,yellow,flat w/ large radial lines,No,No,1/19/2017,,,,,,NBC 00480,Compost heap,Bühl,,"Week 45, 2016",Kai Blin,,
NBC 00481,Buhl compost,Germany,"tan base, white furry center","flat, but white furry center looks like a snowball on top",No,No,1/19/2017,,,,,,NBC 00481,Compost heap,Bühl,,"Week 45, 2016",Kai Blin,,
NBC 00482,Buhl compost,Germany,tan,peeling off,No,No,1/19/2017,,,,,,NBC 00482,Compost heap,Bühl,,"Week 45, 2016",Kai Blin,,
NBC 00483,Buhl compost,Germany,tan,wrinkly,No,unsure,1/19/2017,,,,,,NBC 00483,Compost heap,Bühl,,"Week 45, 2016",Kai Blin,,
NBC 00484,Buhl compost,Germany,tan / black,wrinkly,No,No,1/19/2017,,,Yes,,Consider for platform host,NBC 00484,Compost heap,Bühl,,"Week 45, 2016",Kai Blin,,
NBC 00485,OG2,Denmark,tan / dark red,bumpy,No,unsure,1/19/2017,,,,,,NBC 00485,Olivier's garden; where his cat goes to the toilet,Hillerød,,"Week 42 or 43, 2016",Olivier Bitterlin,,
NBC 00486,OG1,Denmark,tan,wrinkly,No,No,1/19/2017,,,,,,NBC 00486,Olivier's garden; pile of trees and branches,Hillerød,,"Week 42 or 43, 2016",Olivier Bitterlin,,
NBC 00487,Buhl compost,Germany,red base / yellow colony,bumpy,3 mm,reduced ZOI,1/19/2017,,Yes,,,,NBC 00487,Compost heap,Bühl,,"Week 45, 2016",Kai Blin,,
NBC 00488,Buhl compost,Germany,"orange base, white gray aerial mycelia",flat / smooth,reduced ZOI,No,1/19/2017,Yes,Yes,,,,NBC 00488,Compost heap,Bühl,,"Week 45, 2016",Kai Blin,,
NBC 00489,Buhl compost,Germany,red / pink / white,bumpy,No,No,1/19/2017,,,,,NBC 00489 and 00504 and 595 are possible duplicates,NBC 00489,Compost heap,Bühl,,"Week 45, 2016",Kai Blin,,
NBC 00490,Buhl compost,Germany,tan / off-white,wrinkly,No,reduced ZOI,1/19/2017,,Yes,,,,NBC 00490,Compost heap,Bühl,,"Week 45, 2016",Kai Blin,,
NBC 00491,Buhl compost,Germany,white,"outer radial lines, bumpy interior",unsure,No,1/19/2017,,,,,,NBC 00491,Compost heap,Bühl,,"Week 45, 2016",Kai Blin,,
NBC 00492,Buhl compost,Germany,tan,flat / wrinkly,unsure,No,1/19/2017,,,,,,NBC 00492,Compost heap,Bühl,,"Week 45, 2016",Kai Blin,,
NBC 00493,Buhl compost,Germany,tan / gray,flat / wrinkly,unsure,No,1/19/2017,,,,,,NBC 00493,Compost heap,Bühl,,"Week 45, 2016",Kai Blin,,
NBC 00494,Buhl compost,Germany,tan,"outer radial lines, bumpy interior",unsure,No,1/19/2017,,,,,,NBC 00494,Compost heap,Bühl,,"Week 45, 2016",Kai Blin,,
NBC 00495,Buhl compost,Germany,red base / tan outer / white interior,bumpy,15 mm,15 mm,1/19/2017,,Yes,,Yes,,NBC 00495,Compost heap,Bühl,,"Week 45, 2016",Kai Blin,,
NBC 00496,Buhl compost,Germany,tan / yellow,wrinkly,1 mm,reduced ZOI,1/19/2017,,Yes,,,,NBC 00496,Compost heap,Bühl,,"Week 45, 2016",Kai Blin,,
NBC 00497,Buhl compost,Germany,tan,"outer radial lines, bumpy interior",reduced ZOI,No,1/19/2017,Yes,Yes,,,,NBC 00497,Compost heap,Bühl,,"Week 45, 2016",Kai Blin,,
NBC 00498,Buhl compost,Germany,tan,wrinkly,No,No,1/19/2017,,,Yes,,Consider for platform host,NBC 00498,Compost heap,Bühl,,"Week 45, 2016",Kai Blin,,
NBC 00499,Buhl compost,Germany,gray / black,wrinkly,No,No,1/19/2017,,,,,,NBC 00499,Compost heap,Bühl,,"Week 45, 2016",Kai Blin,,
NBC 00500,OG2,Denmark,purple / gray,wrinkly,No,No,2/6/2017,Yes,,,,,NBC 00500,Olivier's garden; where his cat goes to the toilet,Hillerød,,"Week 42 or 43, 2016",Olivier Bitterlin,,
NBC 00501,OG2,Denmark,white,bumpy,No,unsure,1/19/2017,,,,,Consider for platform host.  NBC 00501 and 00502 might be duplicates,NBC 00501,Olivier's garden; where his cat goes to the toilet,Hillerød,,"Week 42 or 43, 2016",Olivier Bitterlin,,
NBC 00502,OG2,Denmark,"green base, white aerial mycelia","outer radial lines, bumpy interior",1 mm,unsure,1/19/2017,,Yes,,,,NBC 00502,Olivier's garden; where his cat goes to the toilet,Hillerød,,"Week 42 or 43, 2016",Olivier Bitterlin,,
NBC 00503,OG2,Denmark,"white outer ring, tan interior",flat / wrinkly,reduced ZOI,reduced ZOI,1/19/2017,Yes,Yes,,,Consider for platform host,NBC 00503,Olivier's garden; where his cat goes to the toilet,Hillerød,,"Week 42 or 43, 2016",Olivier Bitterlin,,
NBC 00504,OG3,Denmark,"red base / white, gray, pink colony",bumpy,unsure,No,1/19/2017,,,,,NBC 00489 and 00504 and 595 are possible duplicates,NBC 00504,Olivier's garden; a pot where he grew pot several years ago,Hillerød,,"Week 42 or 43, 2016",Olivier Bitterlin,,
NBC 00505,Pollenca,Spain,tan,wrinkly,No,No,1/24/2017,,,,,,NBC 00505,,Pollença,"39° 52' 17"" N   3° 5' 10"" E","Week 41, 2016",Helene Robertsen,,from Mallorca
NBC 00506,Pollenca,Spain,purple,flat / fuzzy,No,No,1/24/2017,,,,,,NBC 00506,,Pollença,"39° 52' 17"" N   3° 5' 10"" E","Week 41, 2016",Helene Robertsen,,from Mallorca
NBC 00507,Anfora,Italy,brown,"like individual pellets instead of one colony, and they didn't dig into the agar",No,unsure,1/24/2017,,,,,,NBC 00507,Soil / sand stuck inside an anfora (like a vase),"Palermo, Italy",,Nov-16,Emilia Palazzotto,,
NBC 00508,Pollenca,Spain,white,flat / smooth,No,No,1/26/2017,,,,,,NBC 00508,,Pollença,"39° 52' 17"" N   3° 5' 10"" E","Week 41, 2016",Helene Robertsen,,from Mallorca
NBC 00509,OG1,Denmark,,,,,1/24/2017,,,,,,NBC 00509,Olivier's garden; pile of trees and branches,Hillerød,,"Week 42 or 43, 2016",Olivier Bitterlin,,
NBC 00510,OG2,Denmark,tan / white / gray,flat / wrinkly,No,unsure,1/24/2017,,,,,,NBC 00510,Olivier's garden; where his cat goes to the toilet,Hillerød,,"Week 42 or 43, 2016",Olivier Bitterlin,,
NBC 00511,OG2,Denmark,tan / white,flat / wrinkly,No,reduced ZOI,1/24/2017,,Yes,,,,NBC 00511,Olivier's garden; where his cat goes to the toilet,Hillerød,,"Week 42 or 43, 2016",Olivier Bitterlin,,
NBC 00512,OG1,Denmark,tan,flat / smooth,reduced ZOI,No,1/24/2017,Yes,,,,,NBC 00512,Olivier's garden; pile of trees and branches,Hillerød,,"Week 42 or 43, 2016",Olivier Bitterlin,,
NBC 00513,OG1,Denmark,,,,,1/24/2017,,,,,,NBC 00513,Olivier's garden; pile of trees and branches,Hillerød,,"Week 42 or 43, 2016",Olivier Bitterlin,,
NBC 00514,OG2,Denmark,tan,wrinkly,unsure,unsure,1/24/2017,,,Yes,,Consider for platform host,NBC 00514,Olivier's garden; where his cat goes to the toilet,Hillerød,,"Week 42 or 43, 2016",Olivier Bitterlin,,
NBC 00515,Buhl compost,Germany,tan,outer radial lines / large inner wrinkles,unsure,unsure,1/24/2017,,,Yes,,Consider for platform host,NBC 00515,Compost heap,Bühl,,"Week 45, 2016",Kai Blin,,
NBC 00516,Buhl compost,Germany,tan / white,outer fortress wall / inner wrinkles,reduced ZOI,unsure,1/24/2017,Yes,Yes,,,,NBC 00516,Compost heap,Bühl,,"Week 45, 2016",Kai Blin,,
NBC 00517,OG2,Denmark,tan,flat / smooth,No,No,1/24/2017,Yes,,,,,NBC 00517,Olivier's garden; where his cat goes to the toilet,Hillerød,,"Week 42 or 43, 2016",Olivier Bitterlin,,
NBC 00518,OG2,Denmark,tan / white,large bumps,No,No,1/24/2017,,,,,,NBC 00518,Olivier's garden; where his cat goes to the toilet,Hillerød,,"Week 42 or 43, 2016",Olivier Bitterlin,,
NBC 00519,OG2,Denmark,tan,wrinkly,unsure,No,1/24/2017,,,,,,NBC 00519,Olivier's garden; where his cat goes to the toilet,Hillerød,,"Week 42 or 43, 2016",Olivier Bitterlin,,
NBC 00520,Pep roses,USA,fluorescent yellow /  some gray & white in inner part,flat,10 mm,No,1/24/2017,,Yes,,Yes,NBC 00520 and NBC 584 and NBC 00714 are possible duplicates,NBC 00520,Pep's frontyard; next to middle rose bush,"Alameda, California",,2016-12-29,Pep Charusanti,,
NBC 00521,Pep roses,USA,yellow / white,flat,No,unsure,1/24/2017,,,,,,NBC 00521,Pep's frontyard; next to middle rose bush,"Alameda, California",,2016-12-29,Pep Charusanti,,
NBC 00522,Pep roses,USA,outer red / inner pink and gray,wrinkly,No,No,1/24/2017,Yes,,,,very pretty,NBC 00522,Pep's frontyard; next to middle rose bush,"Alameda, California",,2016-12-29,Pep Charusanti,,
NBC 00523,Pep roses,USA,gray,outer radial lines / large inner wrinkles,No,No,1/24/2017,,,,,Likely fungus,NBC 00523,Pep's frontyard; next to middle rose bush,"Alameda, California",,2016-12-29,Pep Charusanti,,
NBC 00524,Pep roses,USA,white / gray,wrinkly,unsure,No,1/24/2017,,,,,,NBC 00524,Pep's frontyard; next to middle rose bush,"Alameda, California",,2016-12-29,Pep Charusanti,,
NBC 00525,Pep roses,USA,tan / white / gray,small bumps,20 mm,20 mm,1/24/2017,,Yes,,,,NBC 00525,Pep's frontyard; next to middle rose bush,"Alameda, California",,2016-12-29,Pep Charusanti,,
NBC 00526,Sinaia1,Romania,tan,volcano-like,reduced ZOI,reduced ZOI,1/24/2017,,,,,,NBC 00526,"On pathway to Celes palace, base of tree",Sinaia #1,"45° 21' 21"" N   25° 32' 56"" E","Week 46, 2016",Pep Charusanti,,
NBC 00527,Sinaia1,Romania,tan,wrinkly,reduced ZOI,reduced ZOI,1/24/2017,,,,,,NBC 00527,"On pathway to Celes palace, base of tree",Sinaia #1,"45° 21' 21"" N   25° 32' 56"" E","Week 46, 2016",Pep Charusanti,,
NBC 00528,Sinaia1,Romania,tan,wrinkly,5 mm,4 mm,1/24/2017,,,,,"Very interesting colony.  I normally test one colony against Ab and the other against Ec.  Here, I tested both colonies against both pathogens.  Turns out, one of the colonies (large one) showed activity against both, while the other colony (small one) showed no activity.  Well-known lesson here: antibiotic production frequently depends on stage of colony develoopment ",NBC 00528,"On pathway to Celes palace, base of tree",Sinaia #1,"45° 21' 21"" N   25° 32' 56"" E","Week 46, 2016",Pep Charusanti,,
NBC 00529,Sinaia1,Romania,tan / white,flat / wrinkly,unsure,unsure,1/24/2017,,,,,,NBC 00529,"On pathway to Celes palace, base of tree",Sinaia #1,"45° 21' 21"" N   25° 32' 56"" E","Week 46, 2016",Pep Charusanti,,
NBC 00530,Sinaia1,Romania,tan / white,"outer radial lines, bumpy interior",unsure,No,1/24/2017,,,,,,NBC 00530,"On pathway to Celes palace, base of tree",Sinaia #1,"45° 21' 21"" N   25° 32' 56"" E","Week 46, 2016",Pep Charusanti,,
NBC 00531,Sinaia1,Romania,tan / white / gray,"outer radial lines, bumpy interior",unsure,unsure,1/24/2017,,,,,,NBC 00531,"On pathway to Celes palace, base of tree",Sinaia #1,"45° 21' 21"" N   25° 32' 56"" E","Week 46, 2016",Pep Charusanti,,
NBC 00532,Sinaia1,Romania,yellow,bumpy,No,reduced ZOI,1/24/2017,,,,,,NBC 00532,"On pathway to Celes palace, base of tree",Sinaia #1,"45° 21' 21"" N   25° 32' 56"" E","Week 46, 2016",Pep Charusanti,,
NBC 00533,Raspberry,Denmark,"brown base, white / gray aerial mycelia","outer radial lines, bumpy interior",unsure,unsure,1/24/2017,,,,,,NBC 00533,Raspberry bush on the way to CFB building in Hørsholm,Hørsholm,"55 52' 10"" N,  12 29' 53""  E",2016-07-25,Pep Charusanti,,
NBC 00534,Raspberry,Denmark,tan / some white specks,flat / wrinkly,3 mm,5 mm,1/24/2017,,Yes,,,,NBC 00534,Raspberry bush on the way to CFB building in Hørsholm,Hørsholm,"55 52' 10"" N,  12 29' 53""  E",2016-07-25,Pep Charusanti,,
NBC 00535,Buhl compost,Germany,tan,flat / wrinkly,No,unsure,1/26/2017,,,,,Consider for platform host,NBC 00535,Compost heap,Bühl,,"Week 45, 2016",Kai Blin,,
NBC 00536,OG2,Denmark,tan,flat / wrinkly,unsure,No,1/26/2017,,,,,,NBC 00536,Olivier's garden; where his cat goes to the toilet,Hillerød,,"Week 42 or 43, 2016",Olivier Bitterlin,,
NBC 00537,Raspberry,Denmark,red,flat / wrinkly,unsure,No,1/26/2017,,,,,,NBC 00537,Raspberry bush on the way to CFB building in Hørsholm,Hørsholm,"55 52' 10"" N,  12 29' 53""  E",2016-07-25,Pep Charusanti,,
NBC 00538,Raspberry,Denmark,tan,"fortress-like outer edge, flat/wrinkly interior",1-3 mm (asymmetric),1-3 mm (asymmetric),1/26/2017,,Yes,,,NBC 00538 and NBC 00540 are likely duplicates,NBC 00538,Raspberry bush on the way to CFB building in Hørsholm,Hørsholm,"55 52' 10"" N,  12 29' 53""  E",2016-07-25,Pep Charusanti,,
NBC 00539,Raspberry,Denmark,tan / white,tan outer ring with radial lines / flat white interior,unsure,No,1/26/2017,,,,,,NBC 00539,Raspberry bush on the way to CFB building in Hørsholm,Hørsholm,"55 52' 10"" N,  12 29' 53""  E",2016-07-25,Pep Charusanti,,
NBC 00540,Raspberry,Denmark,tan,"fortress-like outer edge, flat/wrinkly interior",assymetric 1-3 mm halo,assymetric 1-3 mm halo,1/26/2017,,Yes,,,NBC 00538 and NBC 00540 are likely duplicates,NBC 00540,Raspberry bush on the way to CFB building in Hørsholm,Hørsholm,"55 52' 10"" N,  12 29' 53""  E",2016-07-25,Pep Charusanti,,
NBC 00541,Raspberry,Denmark,,,,,1/26/2017,,,,,,NBC 00541,Raspberry bush on the way to CFB building in Hørsholm,Hørsholm,"55 52' 10"" N,  12 29' 53""  E",2016-07-25,Pep Charusanti,,
NBC 00542,OG1,Denmark,black / gray,wrinkly,No,No,2/6/2017,Yes,,,,Evolve,NBC 00542,Olivier's garden; pile of trees and branches,Hillerød,,"Week 42 or 43, 2016",Olivier Bitterlin,,
NBC 00543,Andratx,Spain,tan / white,flat / bumpy,unsure,No,1/30/2017,,,,,,NBC 00543,,Andratx,"39° 32' 21"" N   2° 25' 35"" E","Week 41, 2016",Helene Robertsen,,from Mallorca
NBC 00544,Palermo pit,Italy,white,fine grains,not tested,not tested,1/30/2017,,,,,slow grower,NBC 00544,,"Palermo, Italy",,Nov-16,Emilia Palazzotto,,
NBC 00545,Sinaia1,Romania,brown / gray,bumpy,No,No,1/30/2017,,,,,,NBC 00545,"On pathway to Celes palace, base of tree",Sinaia #1,"45° 21' 21"" N   25° 32' 56"" E","Week 46, 2016",Pep Charusanti,,
NBC 00546,Sinaia1,Romania,tan / gray,bumpy,5 mm,7 mm,1/30/2017,Yes,,,,,NBC 00546,"On pathway to Celes palace, base of tree",Sinaia #1,"45° 21' 21"" N   25° 32' 56"" E","Week 46, 2016",Pep Charusanti,,
NBC 00547,Sinaia1,Romania,tan / white,bumpy,reduced ZOI,3 mm,1/30/2017,,,,,,NBC 00547,"On pathway to Celes palace, base of tree",Sinaia #1,"45° 21' 21"" N   25° 32' 56"" E","Week 46, 2016",Pep Charusanti,,
NBC 00548,Sinaia1,Romania,brown / light gray / dark gray,"outer radial lines, bumpy interior",unsure,reduced ZOI,1/30/2017,,,,,,NBC 00548,"On pathway to Celes palace, base of tree",Sinaia #1,"45° 21' 21"" N   25° 32' 56"" E","Week 46, 2016",Pep Charusanti,,
NBC 00549,Sinaia1,Romania,gray / white / yellow,flat / wrinkly,No,No,1/30/2017,,,,,Consider as platform host,NBC 00549,"On pathway to Celes palace, base of tree",Sinaia #1,"45° 21' 21"" N   25° 32' 56"" E","Week 46, 2016",Pep Charusanti,,
NBC 00550,Sinaia1,Romania,,,,,1/30/2017,,,,,,NBC 00550,"On pathway to Celes palace, base of tree",Sinaia #1,"45° 21' 21"" N   25° 32' 56"" E","Week 46, 2016",Pep Charusanti,,
NBC 00551,Sinaia1,Romania,red / orange / yellow,bumpy,No,No,1/30/2017,,,,,Mr. Everywhere,NBC 00551,"On pathway to Celes palace, base of tree",Sinaia #1,"45° 21' 21"" N   25° 32' 56"" E","Week 46, 2016",Pep Charusanti,,
NBC 00552,Sinaia1,Romania,red / orange / yellow,bumpy,No,No,1/30/2017,,,,,Mr. Everywhere,NBC 00552,"On pathway to Celes palace, base of tree",Sinaia #1,"45° 21' 21"" N   25° 32' 56"" E","Week 46, 2016",Pep Charusanti,,
NBC 00553,Sinaia1,Romania,purple,"outer radial lines, bumpy interior",No,No,1/30/2017,,,,,,NBC 00553,"On pathway to Celes palace, base of tree",Sinaia #1,"45° 21' 21"" N   25° 32' 56"" E","Week 46, 2016",Pep Charusanti,,
NBC 00554,Pep strawberries,USA,tan,bumpy,unsure,reduced ZOI,1/30/2017,,Yes,,,,NBC 00554,Pep's backyard; strawberry plants,"Alameda, California",,2016-12-29,Pep Charusanti,,
NBC 00555,Pep strawberries,USA,tan / white,flat / wrinkly,20 mm,25 mm,1/30/2017,,Yes,,Yes,Genome contains pyracrimycin BGC,NBC 00555,Pep's backyard; strawberry plants,"Alameda, California",,2016-12-29,Pep Charusanti,,
NBC 00556,Pep strawberries,USA,"white outer ring, gray interior","outer radial lines, bumpy interior",reduced ZOI,No,1/30/2017,Yes,Yes,,,,NBC 00556,Pep's backyard; strawberry plants,"Alameda, California",,2016-12-29,Pep Charusanti,,
NBC 00557,Pep strawberries,USA,tan,large bumps,No,No,1/30/2017,,,,,,NBC 00557,Pep's backyard; strawberry plants,"Alameda, California",,2016-12-29,Pep Charusanti,,
NBC 00558,Buhl compost,Germany,white,too small to tell,No,1 mm,2/6/2017,,,,,,NBC 00558,Compost heap,Bühl,,"Week 45, 2016",Kai Blin,,
NBC 00559,Sinaia1,Romania,tan / white,bumpy,No,No,2/6/2017,,,,,Evolve,NBC 00559,"On pathway to Celes palace, base of tree",Sinaia #1,"45° 21' 21"" N   25° 32' 56"" E","Week 46, 2016",Pep Charusanti,,
NBC 00560,Sinaia1,Romania,,,,,2/6/2017,,,,,,NBC 00560,"On pathway to Celes palace, base of tree",Sinaia #1,"45° 21' 21"" N   25° 32' 56"" E","Week 46, 2016",Pep Charusanti,,
NBC 00561,Pep strawberries,USA,white,bumpy,No,No,2/6/2017,,,,,Evolve,NBC 00561,Pep's backyard; strawberry plants,"Alameda, California",,2016-12-29,Pep Charusanti,,
NBC 00562,Pep roses,USA,tan,wrinkly,No,No,2/6/2017,,,,,Evolve,NBC 00562,Pep's frontyard; next to middle rose bush,"Alameda, California",,2016-12-29,Pep Charusanti,,
NBC 00563,Pep strawberries,USA,dark tan,too small to tell,2 mm,reduced ZOI,2/6/2017,,,,,possible duplicate.  I've seen this phenotype before,NBC 00563,Pep's backyard; strawberry plants,"Alameda, California",,2016-12-29,Pep Charusanti,,
NBC 00564,Pep strawberries,USA,"orange base, yellow white aerial mycelia",bumpy,reduced ZOI,reduced ZOI,2/6/2017,Yes,Yes,,,,NBC 00564,Pep's backyard; strawberry plants,"Alameda, California",,2016-12-29,Pep Charusanti,,
NBC 00565,Pep strawberries,USA,tan,"couldn't tell; colony grew, but no clear morphology",No,No,2/6/2017,,,,,,NBC 00565,Pep's backyard; strawberry plants,"Alameda, California",,2016-12-29,Pep Charusanti,,
NBC 00566,Pep roses,USA,white / gray,"outer radial lines, bumpy interior",unsure,unsure,2/6/2017,,,,,,NBC 00566,Pep's frontyard; next to middle rose bush,"Alameda, California",,2016-12-29,Pep Charusanti,,
